"sub","task","selfconf","coh","rt","resp","cor","cj","RTconf"
1,"dotnumber","highSC","easy",0.502,-1,1,6,0.217
1,"dotnumber","highSC","average",0.385,1,1,4,0.317
1,"dotnumber","highSC","easy",0.486,-1,1,5,0.248
1,"dotnumber","highSC","average",0.485,1,1,4,0.224
1,"dotnumber","highSC","hard",0.45,-1,1,3,0.21
1,"dotnumber","highSC","average",0.468,1,1,3,0.21
1,"dotnumber","highSC","easy",0.418,-1,1,5,0.213
1,"dotnumber","highSC","easy",0.435,-1,1,6,0.183
1,"dotnumber","highSC","average",0.468,1,1,6,0.201
1,"dotnumber","highSC","hard",0.534,1,1,5,0.199
1,"dotnumber","highSC","hard",0.419,1,0,4,0.25
1,"dotnumber","highSC","easy",0.401,1,0,1,4.188
1,"dotnumber","highSC","average",0.584,1,0,5,0.213
1,"dotnumber","highSC","easy",0.601,-1,1,4,0.097
1,"dotnumber","highSC","average",0.552,1,1,4,0.275
1,"dotnumber","highSC","easy",0.45,1,1,5,0.194
1,"dotnumber","highSC","hard",0.435,1,0,5,0.197
1,"dotnumber","highSC","hard",0.435,1,0,4,0.215
1,"dotnumber","highSC","easy",0.368,1,1,5,0.188
1,"dotnumber","highSC","easy",0.685,-1,1,5,0.132
1,"dotnumber","highSC","easy",0.468,1,1,5,0.2
1,"dotnumber","highSC","easy",0.368,1,1,6,0.237
1,"dotnumber","highSC","hard",0.484,-1,0,3,0.444
1,"dotnumber","highSC","hard",0.402,1,1,2,0.246
1,"dotnumber","highSC","average",0.452,1,1,5,0.278
1,"dotnumber","highSC","easy",0.401,-1,1,5,0.215
1,"dotnumber","highSC","average",0.452,1,0,6,0.248
1,"dotnumber","highSC","average",0.435,-1,1,6,0.248
1,"dotnumber","highSC","easy",0.535,1,1,6,0.196
1,"dotnumber","highSC","hard",0.534,1,0,5,0.227
1,"dotnumber","highSC","hard",0.384,1,0,5,0.375
1,"dotnumber","highSC","average",0.468,1,1,6,0.257
1,"dotnumber","highSC","average",0.451,-1,1,6,0.177
1,"dotnumber","highSC","average",0.401,1,1,6,0.229
1,"dotnumber","highSC","hard",0.436,1,1,6,0.215
1,"dotnumber","highSC","average",0.518,-1,1,5,0.229
1,"dotnumber","highSC","easy",0.352,1,1,6,0.362
1,"dotnumber","highSC","hard",0.401,1,0,4,0.216
1,"dotnumber","highSC","hard",0.551,-1,0,5,0.276
1,"dotnumber","highSC","average",0.401,-1,1,6,0.198
1,"dotnumber","highSC","hard",0.334,-1,0,4,0.397
1,"dotnumber","highSC","hard",0.568,-1,1,4,0.402
1,"dotnumber","highSC","easy",0.451,-1,1,5,0.251
1,"dotnumber","highSC","average",0.434,1,1,4,0.252
1,"dotnumber","highSC","average",0.368,-1,1,3,0.286
1,"dotnumber","highSC","average",0.418,-1,1,5,0.366
1,"dotnumber","highSC","average",0.435,-1,1,4,0.233
1,"dotnumber","highSC","hard",1.236,1,0,4,0.185
1,"dotnumber","highSC","average",0.484,1,1,5,0.282
1,"dotnumber","highSC","hard",0.552,1,1,5,0.308
1,"dotnumber","highSC","hard",0.618,-1,0,5,0.235
1,"dotnumber","highSC","average",0.518,-1,1,6,0.201
1,"dotnumber","highSC","hard",0.434,-1,0,5,0.251
1,"dotnumber","highSC","easy",0.402,-1,1,6,0.221
1,"dotnumber","highSC","average",0.417,1,1,6,0.239
1,"dotnumber","highSC","easy",0.502,1,1,6,0.237
1,"dotnumber","highSC","hard",0.551,1,1,5,0.201
1,"dotnumber","highSC","hard",0.369,1,1,4,0.398
1,"dotnumber","highSC","average",0.418,1,1,3,0.521
1,"dotnumber","highSC","easy",0.451,-1,1,5,0.254
1,"dotnumber","highSC","hard",0.535,1,0,4,0.602
1,"dotnumber","highSC","average",0.786,-1,0,4,0.238
1,"dotnumber","highSC","easy",0.435,1,1,5,0.223
1,"dotnumber","highSC","easy",0.417,-1,1,3,0.977
1,"dotnumber","highSC","easy",0.484,-1,1,5,0.418
1,"dotnumber","highSC","easy",0.552,-1,1,5,0.215
1,"dotnumber","highSC","hard",0.468,1,1,4,0.231
1,"dotnumber","highSC","easy",0.351,1,1,6,0.22
1,"dotnumber","highSC","hard",0.468,-1,1,5,0.444
1,"dotnumber","highSC","hard",0.485,1,0,5,0.258
1,"dotnumber","highSC","average",0.451,-1,1,5,0.226
1,"dotnumber","highSC","easy",0.384,1,1,5,0.246
1,"dotnumber","highSC","easy",1.736,1,1,4,0.306
1,"dotnumber","highSC","average",0.402,1,0,4,0.337
1,"dotnumber","highSC","easy",0.417,1,1,6,0.382
1,"dotnumber","highSC","easy",0.502,-1,1,5,0.236
1,"dotnumber","highSC","average",0.452,1,0,4,0.38
1,"dotnumber","highSC","average",0.719,-1,1,5,0.188
1,"dotnumber","highSC","hard",0.701,-1,1,4,0.324
