"sub","task","traindiffcond","coh","rt","resp","cor","cj","RTconf"
1,"dotnumber","hard","easy",0.468,-1,1,4,0.184
1,"dotnumber","hard","easy",0.418,-1,1,5,0.203
1,"dotnumber","hard","average",0.619,1,1,4,0.053
1,"dotnumber","hard","hard",0.568,-1,1,4,0.504
1,"dotnumber","hard","easy",0.519,1,1,5,0.234
1,"dotnumber","hard","hard",0.667,-1,0,2,0.289
1,"dotnumber","hard","easy",0.485,1,1,4,0.237
1,"dotnumber","hard","average",0.686,1,1,5,0.34
1,"dotnumber","hard","average",0.568,-1,1,5,0.491
1,"dotnumber","hard","average",0.552,1,1,5,0.236
1,"dotnumber","hard","hard",0.718,-1,0,4,0.833
1,"dotnumber","hard","hard",0.634,1,0,5,0.193
1,"dotnumber","hard","hard",0.702,-1,0,5,0.264
1,"dotnumber","hard","easy",0.451,-1,1,5,0.248
1,"dotnumber","hard","hard",0.618,-1,1,2,0.481
1,"dotnumber","hard","average",0.551,-1,1,5,0.371
1,"dotnumber","hard","average",0.401,-1,0,5,0.335
1,"dotnumber","hard","hard",0.735,-1,1,4,0.479
1,"dotnumber","hard","easy",0.469,1,1,4,0.309
1,"dotnumber","hard","hard",0.651,1,1,4,0.314
1,"dotnumber","hard","hard",0.617,-1,1,4,0.432
1,"dotnumber","hard","average",3.287,1,0,2,0.243
1,"dotnumber","hard","easy",0.602,1,0,2,0.285
1,"dotnumber","hard","hard",1.703,-1,1,4,0.28
1,"dotnumber","hard","hard",0.485,-1,0,4,0.341
1,"xotask","easy","average",2.303,-1,1,5,0.13
1,"xotask","easy","average",0.785,1,1,5,0.152
1,"xotask","easy","easy",0.619,1,1,6,0.324
1,"xotask","easy","hard",1.619,-1,1,6,0.24
1,"xotask","easy","easy",0.75,-1,1,6,0.178
1,"xotask","easy","easy",1.12,-1,1,6,0.233
1,"xotask","easy","easy",0.618,1,1,6,0.225
1,"xotask","easy","easy",1.085,-1,1,5,0.167
1,"xotask","easy","average",0.852,1,1,5,0.233
1,"xotask","easy","easy",0.602,1,1,6,0.225
1,"xotask","easy","hard",1.268,-1,1,4,0.256
1,"xotask","easy","average",1.035,1,1,4,0.263
1,"xotask","easy","average",1.336,-1,0,5,0.192
1,"xotask","easy","easy",0.768,-1,1,5,0.229
1,"xotask","easy","hard",0.935,1,1,6,0.384
