starttime,task,withinblocktrial,block,running,traindiffcond,trialdifflevel,n_xes,rt,resp,cor,cresp,conf_press,cj,RTconf,n_reddots,dotsLeft,dotsRight,post1,post2,post3,post4,stoptime,sub,age,gender,handedness,
,xotask,12,6,main,hard,easy,6,851,['n'],1,right,['9'],5,437,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,13,6,main,hard,hard,33,1001,['n'],1,right,['8'],4,325,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,14,6,main,hard,hard,33,768,['n'],1,right,['8'],4,244,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,15,6,main,hard,average,56,735,['c'],1,left,['9'],5,375,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,16,6,main,hard,hard,42,735,['c'],1,left,['9'],5,342,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,17,6,main,hard,hard,37,835,['n'],1,right,['8'],4,257,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,18,6,main,hard,easy,71,1186,['c'],1,left,['9'],5,370,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,19,6,main,hard,easy,6,901,['n'],1,right,['9'],5,330,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,20,6,main,hard,average,25,1151,['c'],0,right,['2'],2,936,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,21,6,main,hard,hard,43,3871,['c'],1,left,['3'],3,1191,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,22,6,main,hard,average,25,1052,['n'],1,right,['9'],5,398,,,,,,,,,39,18,Vrouw,Rechts,
,xotask,23,6,main,hard,average,22,1252,['n'],1,right,['9'],5,518,,,,,,,,,39,18,Vrouw,Rechts,
